***************************************************************************************************************************************************************************************** 

# Name                   Value      Units             
Sref_                   6.1935350 Lunit^2             
Cref_                   0.6425750 Lunit               
Bref_                   9.6386220 Lunit               
Xcg_                    0.0000000 Lunit               
Ycg_                    0.0000280 Lunit               
Zcg_                   -0.0000000 Lunit               
Mach_                   0.2330030 no_unit             
AoA_                    4.0000000 deg                 
Beta_                   0.0000000 deg                 
Rho_                    1.2250000 Munit/Lunit^3       
Vinf_                  50.0000000 Lunit/Tunit         
Roll__Rate              0.0000000 rad/Tunit           
Pitch_Rate              0.0000000 rad/Tunit           
Yaw___Rate              0.0000000 rad/Tunit           

   Wing       S        Xavg      Yavg      Zavg     Chord     V/Vref      Cl        Cd        Cs        Cx        Cy       Cz        Cmx       Cmy       Cmz 
        1   0.30905   0.39210   1.38554   0.01741   0.69080   0.99905   1.28957   0.02852   0.00701  -0.06150   0.00701   1.28842   2.58401  -0.58734   0.12537 
        1   0.31713   0.39247   1.42570   0.01732   0.68891   0.99906   1.29007   0.02954   0.00701  -0.06052   0.00701   1.28899   2.66739  -0.59015   0.12729 
        1   0.32521   0.39285   1.46586   0.01722   0.68702   0.99908   1.29028   0.02737   0.00704  -0.06270   0.00704   1.28905   2.75020  -0.59295   0.13585 
        1   0.33329   0.39322   1.50603   0.01712   0.68513   0.99909   1.29069   0.02840   0.00704  -0.06171   0.00704   1.28953   2.83441  -0.59576   0.13771 
        1   0.34137   0.39359   1.54619   0.01702   0.68324   0.99908   1.29110   0.02820   0.00703  -0.06194   0.00703   1.28992   2.91894  -0.59864   0.14224 
        1   0.34945   0.39397   1.58635   0.01692   0.68135   0.99908   1.29145   0.02932   0.00703  -0.06084   0.00703   1.29035   3.00405  -0.60148   0.14374 
        1   0.35753   0.39434   1.62651   0.01682   0.67946   0.99911   1.29157   0.02698   0.00705  -0.06318   0.00705   1.29031   3.08859  -0.60438   0.15335 
        1   0.36562   0.39472   1.66667   0.01673   0.67757   0.99911   1.29185   0.02811   0.00705  -0.06207   0.00705   1.29066   3.17456  -0.60722   0.15482 
        1   0.37370   0.39509   1.70683   0.01663   0.67568   0.99909   1.29211   0.02816   0.00704  -0.06204   0.00704   1.29092   3.26081  -0.61009   0.15885 
        1   0.38178   0.39546   1.74699   0.01653   0.67379   0.99910   1.29231   0.02936   0.00703  -0.06086   0.00703   1.29121   3.34765  -0.61294   0.15994 
        1   0.38986   0.39584   1.78715   0.01643   0.67190   0.99912   1.29228   0.02688   0.00706  -0.06333   0.00706   1.29100   3.43369  -0.61587   0.17064 
        1   0.39794   0.39621   1.82731   0.01633   0.67001   0.99912   1.29238   0.02811   0.00706  -0.06211   0.00706   1.29120   3.52129  -0.61871   0.17160 
        1   0.40602   0.39659   1.86747   0.01624   0.66812   0.99911   1.29250   0.02811   0.00704  -0.06212   0.00704   1.29131   3.60918  -0.62162   0.17582 
        1   0.41410   0.39696   1.90763   0.01614   0.66623   0.99910   1.29253   0.02942   0.00703  -0.06082   0.00703   1.29143   3.69761  -0.62448   0.17635 
        1   0.42219   0.39734   1.94780   0.01604   0.66434   0.99914   1.29230   0.02663   0.00706  -0.06358   0.00706   1.29101   3.78497  -0.62743   0.18866 
        1   0.43027   0.39771   1.98796   0.01594   0.66245   0.99914   1.29224   0.02796   0.00706  -0.06225   0.00706   1.29104   3.87412  -0.63028   0.18908 
        1   0.43835   0.39808   2.02812   0.01584   0.66056   0.99908   1.29217   0.02826   0.00703  -0.06194   0.00703   1.29100   3.96356  -0.63314   0.19245 
        1   0.44643   0.39846   2.06828   0.01575   0.65867   0.99908   1.29203   0.02976   0.00701  -0.06044   0.00701   1.29096   4.05355  -0.63599   0.19205 
        1   0.45451   0.39883   2.10844   0.01565   0.65678   0.99913   1.29163   0.02662   0.00705  -0.06355   0.00705   1.29034   4.14215  -0.63899   0.20631 
        1   0.46259   0.39921   2.14860   0.01555   0.65489   0.99913   1.29141   0.02817   0.00705  -0.06198   0.00705   1.29023   4.23287  -0.64185   0.20567 
        1   0.47067   0.39958   2.18876   0.01545   0.65300   0.99908   1.29118   0.02848   0.00701  -0.06166   0.00701   1.29002   4.32377  -0.64474   0.20898 
        1   0.47875   0.39995   2.22892   0.01535   0.65111   0.99907   1.29084   0.03013   0.00700  -0.05998   0.00700   1.28979   4.41513  -0.64756   0.20767 
        1   0.48684   0.40033   2.26908   0.01525   0.64922   0.99913   1.29015   0.02673   0.00704  -0.06333   0.00704   1.28887   4.50454  -0.65049   0.22372 
        1   0.49492   0.40070   2.30924   0.01516   0.64733   0.99912   1.28970   0.02846   0.00703  -0.06158   0.00703   1.28855   4.59650  -0.65332   0.22206 
        1   0.50300   0.40108   2.34940   0.01506   0.64544   0.99906   1.28928   0.02869   0.00699  -0.06132   0.00699   1.28814   4.68868  -0.65622   0.22558 
        1   0.51108   0.40145   2.38957   0.01496   0.64355   0.99905   1.28873   0.03051   0.00697  -0.05946   0.00697   1.28772   4.78127  -0.65903   0.22317 
        1   0.51916   0.40183   2.42973   0.01486   0.64166   0.99911   1.28784   0.02695   0.00702  -0.06296   0.00702   1.28658   4.87164  -0.66199   0.24082 
        1   0.52724   0.40220   2.46989   0.01476   0.63977   0.99911   1.28717   0.02878   0.00701  -0.06108   0.00701   1.28604   4.96471  -0.66479   0.23827 
        1   0.53532   0.40257   2.51005   0.01467   0.63788   0.99903   1.28654   0.02911   0.00696  -0.06070   0.00696   1.28544   5.05802  -0.66770   0.24131 
        1   0.54341   0.40295   2.55021   0.01457   0.63599   0.99903   1.28573   0.03108   0.00694  -0.05868   0.00694   1.28476   5.15151  -0.67045   0.23774 
        1   0.55149   0.40332   2.59037   0.01447   0.63410   0.99909   1.28455   0.02723   0.00698  -0.06244   0.00698   1.28332   5.24234  -0.67337   0.25757 
        1   0.55957   0.40370   2.63053   0.01437   0.63221   0.99908   1.28359   0.02943   0.00697  -0.06018   0.00697   1.28251   5.33618  -0.67608   0.25290 
        1   0.56765   0.40407   2.67069   0.01427   0.63032   0.99899   1.28268   0.02955   0.00692  -0.06000   0.00692   1.28162   5.43011  -0.67896   0.25670 
        1   0.57573   0.40444   2.71085   0.01417   0.62843   0.99898   1.28160   0.03195   0.00689  -0.05752   0.00689   1.28071   5.52441  -0.68166   0.25064 
        1   0.58381   0.40482   2.75101   0.01408   0.62654   0.99905   1.28021   0.02771   0.00694  -0.06166   0.00694   1.27903   5.61579  -0.68467   0.27328 
        1   0.59189   0.40519   2.79117   0.01398   0.62465   0.99903   1.27897   0.03023   0.00692  -0.05907   0.00692   1.27796   5.71027  -0.68734   0.26649 
        1   0.59997   0.40557   2.83134   0.01388   0.62276   0.99894   1.27776   0.03048   0.00686  -0.05873   0.00686   1.27677   5.80460  -0.69016   0.26954 
        1   0.60806   0.40594   2.87150   0.01378   0.62087   0.99893   1.27634   0.03298   0.00682  -0.05613   0.00682   1.27553   5.89910  -0.69279   0.26215 
        1   0.61614   0.40632   2.91166   0.01368   0.61898   0.99899   1.27436   0.02849   0.00688  -0.06048   0.00688   1.27324   5.98911  -0.69549   0.28709 
        1   0.62422   0.40669   2.95182   0.01359   0.61709   0.99898   1.27273   0.03107   0.00686  -0.05778   0.00686   1.27179   6.08340  -0.69805   0.27903 
        1   0.63230   0.40706   2.99198   0.01349   0.61520   0.99888   1.27106   0.03144   0.00678  -0.05730   0.00678   1.27016   6.17714  -0.70069   0.28128 
        1   0.64038   0.40744   3.03214   0.01339   0.61331   0.99886   1.26921   0.03434   0.00675  -0.05428   0.00675   1.26852   6.27125  -0.70318   0.27098 
        1   0.64846   0.40781   3.07230   0.01329   0.61142   0.99891   1.26680   0.02928   0.00682  -0.05915   0.00682   1.26575   6.36007  -0.70584   0.29991 
        1   0.65654   0.40819   3.11246   0.01319   0.60953   0.99889   1.26467   0.03223   0.00678  -0.05607   0.00678   1.26384   6.45344  -0.70821   0.28899 
        1   0.66462   0.40856   3.15262   0.01309   0.60764   0.99880   1.26245   0.03265   0.00670  -0.05550   0.00670   1.26165   6.54569  -0.71062   0.29057 
        1   0.67271   0.40893   3.19278   0.01300   0.60575   0.99877   1.26003   0.03592   0.00665  -0.05206   0.00665   1.25947   6.63826  -0.71286   0.27705 
